date,pop,rgdp,unemp,ygap_hp,ur_hp,lcpi,pgdp,pi,pix,ffr,tbill3,lpcom,ff4,onrun10,ir_1,ir_2,ir_3,rr_1,rr_2,rr_3,rr_4,gk_var_1,gk_var_2,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,mar_raw,mar_svariv,ad,ford_tfp,bp_tfp_news_sr,bp_tfp_news_lr,bs_tfp_news,bzk_ist_news,bzk_ist,bzk_tfp
1947,142985.5781,1934.585389,,,,,12.566,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947.25,143669.8281,1932.522558,,,,,12.745,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947.5,144334.75,1930.230763,,,,,12.957,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947.75,144961,1960.680928,,,,,13.276,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,145587.25,1989.685328,,,,,13.379,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948.25,146213.5,2021.930799,,,,,13.497,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948.5,146844.0781,2033.170874,,,,,13.747,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948.75,147483.3281,2035.680615,,,,,13.789,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,148122.5781,2007.727637,,,,,13.717,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949.25,148761.8281,2000.883718,,,,,13.579,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,0.949669658,,,,,,
1949.5,149444.9219,2023.095714,,,,,13.509,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126884525,0.012631721,0.011430328,,,,
1949.75,150215.6719,2004.734428,,,,,13.518,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.130330398,0.065689519,0.010713686,,,,
1950,150986.4219,2084.507042,,,,,13.49,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.099368412,-0.031311743,0.007583287,,,,
1950.25,151757.1719,2147.289112,,,,,13.538,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001545128,0.006937274,0.007945375,,,,
1950.5,152488.25,2230.335454,,,,,13.832,,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09863537,-0.039731063,-0.005752773,,,,
1950.75,153140,2273.243435,,,,,14.09,,,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.610338956,0.063080661,0.016059145,,,,
