date,gdp,unemp,ygap_hp,ffr,infl,inv,cons,lab,lab_share,lab_prod,tfp,lpcom,ff4,onrun10,ir_1,ir_2,ir_3,rr_1,rr_2,rr_3,rr_4,gk_var_1,gk_var_2,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,mar_raw,mar_svariv,ad
1979.25,1026.322281,5.7,2.501991884,10.18,9.56,1364.421748,1420.674448,1761.499053,467.5460882,400.6423681,39.0225,5.624579604,,,,,,0.04108413,0.0391264,-0.0272534,0.026893615,,,,,,,,,,,,,,,,
1979.5,1026.736649,5.8667,2.629703872,10.9467,8.456,1363.466232,1421.668528,1762.076976,467.8058128,400.5349401,37.625,5.636937802,,,,,,0.85842991,0.8605912,0.8895471,0.87781184,,,,,,,,,,,,,,,,
1979.75,1026.684512,5.9667,2.298754991,13.5767,7.9,1361.674921,1422.575171,1762.314087,468.4849751,400.4474558,37.7175,5.647469762,,,,,,0.04493795,0.0449353,0.0993315,0.101576681,,,,,,,,,,,,,,,,
1980,1026.726223,6.3,2.058861786,15.0467,8.232,1360.303181,1423.187769,1761.293855,468.3223223,400.9204161,39.675,5.665333835,,,,,,1.6080407,1.607087,1.813551,1.864640079,,,,,,,,,,,,,,,2.542549369,
1980.25,1024.398738,7.3333,-0.556605422,12.6867,8.688,1350.59227,1422.366904,1759.259889,469.1879851,399.8310787,38.7075,5.581666988,,,,,,-3.9847327,-3.986086,-4.058774,-3.991197769,,,,,,,,,,,,,,,-5.947250119,
1980.5,1023.94954,7.6667,-1.196176539,9.8367,9.1,1346.633939,1422.847944,1759.154461,469.7220513,400.1662592,38.1575,5.653375018,,,,,,0.97584303,0.9786537,1.164973,1.03672962,0.122011809,-0.002756345,,,,,,,,,,,,,0.812723119,
1980.75,1025.512985,7.4,0.13644917,15.8533,10.9,1352.469879,1423.481151,1759.792025,469.2209896,401.2754825,37.77,5.684162642,,,,,,2.4553966,2.455448,2.474537,2.393568522,0.107059835,-0.000625301,,,,,,,,,,,,,0.342012256,
1981,1027.356725,7.4333,1.560805161,16.57,9.868,1359.499966,1423.438042,1760.727816,467.1341748,402.9503773,38.8675,5.623056277,,,,,,-0.47610583,-0.4765787,-0.4291963,-0.55480898,-0.095539764,-0.045805063,,,,,,,,,,,,,0.231073041,
1981.25,1026.399016,7.4,0.293202447,17.78,7.432,1355.611645,1423.616709,1759.802427,468.0926798,401.6941423,37.905,5.603291659,,,,,,1.5149078,1.514498,1.525954,1.515757635,0.140350982,0.050853711,,,,,,,,,,,,,2.026216907,
1981.5,1027.266896,7.4,0.944616309,17.5767,7.132,1359.410138,1423.157555,1758.88001,467.3183912,402.5351691,39.795,5.60235794,,,,,,-0.65150372,-0.6473487,-0.7218544,-0.791033918,0.306502274,0.075790922,,,,,,,,,,,,,2.091507875,
1981.75,1025.832581,8.2333,-0.712919867,13.5867,7.424,1354.67277,1422.861772,1758.248303,468.1973807,401.3441763,39.3025,5.540255535,,,,,,-0.83024832,-0.8308354,-0.8630374,-0.883451894,-0.437647673,-0.11242426,,,,,,,,,,,,,-1.107877568,
1982,1023.931673,8.8333,-2.872052068,14.2267,5.56,1347.799518,1422.830077,1757.099901,470.0643989,400.6223479,39.64,5.524663796,,,,,,0.58638753,0.5867098,0.612453,0.609108647,0.155129861,0.072936101,,,,,,,,,,,,,1.619132222,
1982.25,1024.256354,9.4333,-3.049604476,14.5133,4.788,1347.336794,1422.783701,1757.440046,469.5120573,400.8296358,39.0325,5.499464073,,,,,,-0.05561013,-0.0564761,-0.0891476,-0.086472969,0.248523118,0.058389163,,,,,,,,,,,,,1.264484377,
1982.5,1023.638197,9.9,-4.110789726,11.0067,5.72,1345.924981,1423.641585,1757.174318,469.640845,401.0201794,38.5,5.477171017,,,,,,-0.40750841,-0.4078322,-0.4359074,-0.43070476,-0.451037736,-0.1217244,,,,,,,,,,,,,-2.258943545,
1982.75,1023.491135,10.6667,-4.798684475,9.2867,4.416,1340.878981,1424.949095,1756.450753,469.1109322,401.9261756,38.685,5.434966745,,,,,,0.53300493,0.5335374,0.4530183,0.344234839,-0.206633244,0.001976585,,,,,,,,,,,,,-0.480158613,-0.01192331
1983,1024.590636,10.3667,-4.268596198,8.6533,3.22,1341.978482,1425.686931,1756.711531,468.447108,403.2486889,38.4775,5.470296453,,,,,,0.32963756,0.3304234,0.3403285,0.238891424,-0.016447733,-0.048111793,,,,,,,,,,,,,-0.057999572,0.047269464
1983.25,1026.639305,10.1333,-2.84764063,8.8033,2.696,1349.323704,1427.008324,1758.146155,466.7741148,405.5257174,38.2725,5.516016914,,,,,,-0.01874941,-0.0184573,-0.0370014,0.156412163,0.293869427,0.053661736,,,,,,,,,,,,,0.396965227,0.027573794
1983.5,1028.332711,9.3667,-1.743410961,9.46,4.168,1353.757008,1428.519082,1759.904934,465.433171,406.2423806,37.09,5.57014984,,,,,,-0.24233576,-0.2432183,-0.1983932,-0.033345055,0.143387132,0.004492057,,,,,,,,,,,,,0.236073919,-0.008880753
1983.75,1030.139081,8.5333,-0.593961247,9.43,2.932,1360.827751,1429.222499,1760.656365,465.4579206,406.7247394,37.175,5.594608996,,,,,,0.32599049,0.3265825,0.2766463,0.28628771,0.122816593,0.039713177,,,,,,,,,,,,,0.456338293,-0.028557156
1984,1031.913399,7.8667,0.393335822,9.6867,4.236,1367.603111,1429.881564,1761.763576,466.0444047,406.8889993,38.025,5.638464069,,,,,,0.15644843,0.1555654,0.1515853,0.138007092,0.068766164,-0.002958859,,,0.003333333,0,-0.003763433,,,0.005,,,-0.024224467,,0.209455957,-0.010537669
1984.25,1033.452294,7.4333,1.131702395,10.5567,3.352,1369.836453,1431.045927,1763.31501,465.5074016,407.5076792,38.765,5.664885342,,,,,,0.17324327,0.173155,0.1376575,0.150463376,0.415691362,0.102607424,,,0.01,0.013333333,0.007096767,,,0.01,,,0.004062233,,1.808412146,-0.016989996
1984.5,1034.190376,7.4333,1.097431037,11.39,3.228,1370.574536,1431.784009,1762.652061,465.6556976,407.9332442,39.2575,5.616554946,,,,,,0.26552891,0.2640372,0.2864533,0.34254513,0.030201111,0.010696274,,,0,0,0,,,0,,,-0.012832533,,0.246030244,0.08362633
1984.75,1034.740385,7.3,0.908472508,9.2667,2.676,1370.081056,1432.521459,1762.985636,465.8436034,407.9941332,39.4825,5.584468287,,,,,,-0.6539676,-0.653407,-0.7383595,-0.643581824,-0.368920345,-0.103388856,,,-0.070215067,-0.0731183,-0.062903233,,,-0.223333333,,,0.0105306,,-1.985589096,-0.342131203
1985,1035.545449,7.2333,0.859282492,8.4767,4.576,1368.049051,1433.88675,1763.612646,465.6718448,408.161387,40.5925,5.538925465,,,,,,0.0435235,0.0424604,0.0938688,0.012122711,0.154098355,0.069167128,,,-0.156989233,-0.144623633,-0.1336559,,,-0.006666667,,,-0.0189596,,0.089303812,0.011963139
1985.25,1036.246183,7.3,0.720176476,7.9233,2.468,1369.108852,1434.959231,1763.065268,465.6081908,408.4984224,40.39,5.523270734,,,,,,-0.10394844,-0.104486,-0.1474005,-0.04069756,-0.342262186,-0.081138198,,,-0.1227957,-0.1355914,-0.143440867,,,-0.12,,,0.007634967,,-1.195379527,-0.059734845
1985.5,1037.530204,7.2,1.222460046,7.9,2.312,1369.673445,1436.243252,1763.702307,465.0774328,409.7688963,41.065,5.460485808,,,,,,0.24662485,0.2457843,0.2540045,0.349415709,0.195155258,0.060141424,,,0.005555533,-0.0122222,-0.001666667,,,0.006666667,,,-0.0052037,,0.329103984,0.066675704
1985.75,1038.028058,7.0333,0.956172945,8.1033,2.308,1370.890727,1437.111477,1763.787804,466.3269268,410.2031608,40.83,5.447466616,,,,,,0.05537063,0.055349,0.0780944,0.162601064,-0.124650649,-0.044965043,,,-0.0003943,0.005555567,0.005,,,-0.003333333,,,0.017267133,,-0.605022567,-0.000505288
1986,1038.754817,7.0333,0.888276403,7.8267,1.948,1371.258419,1437.838235,1763.933449,466.1172376,411.3738609,41.765,5.420141405,,,,,,-0.10995812,-0.1095687,-0.092363,-0.123416801,0.019418459,0.076641184,,,0.0068817,0.008709667,0.010107533,,,0.01,,,0.004935567,,0.170565162,-0.002004336
1986.25,1039.001024,7.1667,0.353034318,6.92,1.596,1371.144265,1437.714072,1763.849632,466.3410792,412.1408345,42.5725,5.372526349,,,,,,0.28262134,0.2821973,0.2789763,0.281421067,-0.087992853,-0.031606971,,,-0.004931867,0.011734767,0.014114667,,,-0.006666667,,,0.000479,,-0.590697416,0.030454046
1986.5,1039.754335,6.9667,0.335496758,6.2067,1.612,1371.897576,1438.281681,1763.83358,466.9693082,412.6230751,42.69,5.368260878,,,,,,-0.40039002,-0.4034524,-0.3884781,-0.200234543,-0.071990723,0.028007005,,,-0.008666667,-0.009444433,-0.015,,,-0.013333333,,,-0.005854533,,-0.437724276,-0.126960766
1986.75,1040.031567,6.8333,-0.082369127,6.2667,2.224,1371.085868,1439.114985,1764.287339,468.1325347,412.3790089,42.3375,5.420065651,,,,,,-0.06065667,-0.0602143,-0.0200735,0.193553412,0.066438652,0.036976741,,,-0.0051111,-0.009279567,-0.002555533,,,0,,,0.0155461,,-0.174807567,0.041799582
